Office_scale,Residential_scale
0.006894756,0.029413199
0.006766028,0.027511917
0.006676173,0.028050824
0.006587184,0.027164399
0.00663984,0.027100184
0.006716626,0.026383741
0.006722604,0.025682406
0.006322354,0.022596287
0.006535367,0.019437139
0.00642587,0.018534345
0.006589605,0.017664289
0.006680865,0.017695766
0.007323653,0.020807068
0.007627011,0.025955637
0.007900594,0.026874799
0.008067367,0.028470113
0.008231875,0.028171701
0.007633908,0.02939683
0.007743346,0.029574367
0.007821557,0.030799497
0.00771681,0.031081542
0.007552354,0.030396577
0.007343574,0.030759206
0.007204984,0.030598038
0.006808673,0.028188068
0.006692849,0.027455257
0.006643259,0.026334634
0.006637623,0.027664272
0.006712052,0.027341937
0.01054379,0.028502851
0.012641742,0.030138457
0.014689923,0.031484463
0.015182283,0.030951852
0.014393087,0.030266886
0.01374916,0.030380208
0.014114514,0.029204184
0.014576791,0.029380461
0.014720287,0.028405898
0.014326047,0.029010278
0.012454383,0.030807053
0.009794955,0.03104125
0.010335168,0.031226341
0.010288208,0.033466328
0.010399637,0.033418481
0.010236569,0.032790178
0.008721979,0.033409668
0.006790139,0.03336182
0.006538173,0.031145757
0.006405189,0.030977034
0.006316849,0.029389276
0.00624199,0.028204437
0.006241549,0.027559765
0.00634046,0.027261351
0.009349252,0.028405898
0.012306239,0.028413452
0.014220569,0.028164145
0.014489285,0.028349237
0.01363614,0.027849364
0.013280869,0.026424033
0.013251558,0.026157098
0.013370494,0.026818139
0.013467985,0.026374926
0.01300524,0.026818139
0.010380131,0.026303157
0.008783259,0.027889656
0.010097153,0.029107231
0.009946899,0.029356538
0.009779888,0.030259332
0.009529045,0.029711613
0.0090279,0.031017326
0.006806456,0.032200906
0.006570936,0.030259332
0.006442003,0.027793962
0.006393673,0.027640349
0.006337904,0.02714929
0.006325919,0.027003231
0.006519472,0.025666038
0.009194662,0.026665784
0.012016025,0.026988121
0.013377983,0.027809072
0.01400183,0.029107231
0.012802892,0.027374673
0.012531727,0.025931714
0.012788909,0.026488248
0.013130901,0.024787168
0.013218906,0.027092629
0.013150371,0.027849364
0.011875318,0.027519473
0.00899291,0.027995422
0.010006081,0.029510152
0.010119045,0.031451725
0.010003697,0.031129388
0.009771942,0.031290558
0.009299114,0.03089645
0.007007324,0.030460793
0.006783336,0.028913326
0.006673745,0.028534328
0.006531386,0.027486735
0.006490792,0.026858431
0.006472607,0.026045035
0.006619831,0.026294342
0.008918536,0.0265852
0.012382668,0.026891168
0.013438567,0.024255816
0.013490641,0.021089113
0.012402137,0.019082064
0.012012959,0.017889671
0.011765056,0.018792465
0.012193965,0.020451995
0.012176856,0.022950101
0.012492399,0.025955637
0.011331612,0.027076261
0.009207065,0.027809072
0.010615712,0.029405645
0.010456478,0.03029207
0.010501478,0.029517707
0.010168963,0.03030718
0.008805455,0.030847345
0.00769304,0.029501339
0.007568802,0.029420755
0.00731407,0.029783382
0.007221718,0.028091116
0.007095374,0.027632795
0.007080764,0.027858177
0.00729855,0.028277467
0.010058474,0.028325314
0.013012688,0.027849364
0.014364665,0.025867499
0.014480197,0.025222825
0.013165354,0.022305429
0.012187981,0.018147793
0.01178017,0.01805084
0.011614921,0.019517723
0.012067386,0.022459043
0.012332202,0.024634814
0.01093438,0.02795513
0.008386284,0.028405898
0.009664589,0.028252285
0.009601823,0.028889403
0.009820618,0.029171448
0.009180825,0.029292323
0.008731004,0.029662506
0.006585565,0.031017326
0.006436647,0.030017581
0.006357035,0.030259332
0.006340443,0.030259332
0.006293817,0.029163892
0.006319163,0.028614913
0.006246452,0.028237175
0.006499766,0.028631281
0.006730271,0.028116299
0.006956365,0.026036222
0.007195311,0.021757708
0.00690102,0.019437139
0.006678656,0.018913342
0.006870978,0.02011329
0.007037115,0.022127893
0.007598225,0.026028666
0.008001779,0.026310711
0.00823591,0.027929948
0.008254933,0.028076007
0.007492539,0.028091116
0.008042496,0.028341682
0.007862763,0.02830139
0.007293286,0.028946063
0.007366347,0.029299877
0.007259215,0.029526521
0.007045841,0.027688196
0.006533272,0.028728235
0.006523293,0.028067193
0.006548665,0.02742252
0.00645361,0.027083815
0.006533048,0.026786662
0.006618679,0.027140476
0.006678735,0.025190089
0.006693506,0.024521492
0.006780112,0.024940782
0.006785297,0.022821672
0.006770064,0.021918878
0.006460212,0.017277737
0.006710812,0.018920897
0.00702842,0.021644388
0.00772525,0.025497316
0.007758462,0.027028413
0.007869713,0.030122088
0.007566067,0.028720679
0.007684536,0.029768274
0.007672128,0.030830976
0.007492796,0.031420247
0.007103995,0.032088843
0.006857034,0.03116968
0.006626027,0.030799497
0.006465201,0.031072728
0.006411593,0.029702798
0.006274541,0.02870431
0.006209787,0.028946063
0.006315753,0.027576134
0.010273524,0.027889656
0.012674368,0.028946063
0.014293513,0.027834254
0.014955985,0.027334381
0.014279019,0.027938763
0.013600031,0.026157098
0.013851181,0.025988374
0.013770865,0.0244812
0.01344495,0.021733785
0.013571309,0.023796235
0.012274034,0.02599593
0.009363326,0.02809993
0.010787052,0.029678875
0.010708648,0.029751905
0.010593018,0.032193352
0.010283672,0.031871015
0.009321365,0.031226341
0.00733711,0.030541377
0.007036339,0.028816373
0.006886666,0.029735536
0.006941022,0.027834254
0.00691397,0.02879245
0.006983137,0.027068705
0.007120158,0.028583435
0.009612849,0.028664019
