Office_scale,Residential_scale
0.027882618,0.016678074
0.02529178,0.017398143
0.020549862,0.017869019
0.023693914,0.018894914
0.02333851,0.019464496
0.023438948,0.018966921
0.022696786,0.019474205
0.019653482,0.019821294
0.017170608,0.018956403
0.016893314,0.018904623
0.01632476,0.019137633
0.016118633,0.018050249
0.015836637,0.01775575
0.015804028,0.017900572
0.01629012,0.018169991
0.022450178,0.018200736
0.029043886,0.017894909
0.032061452,0.01662144
0.032319316,0.016207198
0.02938463,0.014332594
0.027203167,0.01166106
0.026292947,0.011598762
0.025924117,0.012541323
0.026934002,0.0144313
0.027525064,0.015829365
0.024405171,0.01796287
0.018717906,0.018252516
0.021571041,0.01815381
0.021430948,0.018563197
0.021919291,0.018744428
0.020491295,0.018822098
0.019487309,0.019059963
0.014698761,0.019930517
0.014366382,0.01928812
0.01418869,0.01944346
0.014151658,0.01944346
0.01404759,0.018739573
0.01410416,0.018386821
0.013941873,0.018144101
0.01450726,0.018397338
0.01502174,0.018066431
0.015526375,0.016729855
0.016059695,0.01398065
0.015402846,0.012489543
0.014906537,0.012152972
0.015335793,0.012924011
0.015706606,0.014218516
0.016958985,0.016725
0.017859704,0.016906231
0.018382277,0.017946689
0.018424735,0.018040541
0.016723096,0.018050249
0.017950583,0.018211253
0.017549425,0.018185363
0.01627837,0.018599605
0.01644144,0.018826952
0.016202325,0.018972584
0.015726081,0.017791349
0.014582046,0.018459637
0.014559772,0.018034877
0.014616402,0.017620636
0.014404241,0.017402997
0.014581544,0.017212058
0.014772671,0.017439405
0.014906714,0.016186163
0.014939683,0.015756549
0.015132984,0.016025968
0.015144557,0.014664311
0.015110557,0.014084211
0.014418978,0.011101996
0.014978309,0.012157826
0.015687198,0.013907835
0.0172425,0.016383575
0.017316629,0.017367398
0.017564937,0.019355272
0.016887209,0.018454782
0.017151628,0.019127925
0.017123934,0.019810776
0.016723671,0.020189418
0.015855879,0.020619032
0.01530467,0.020028414
0.01478907,0.019790549
0.014430112,0.019966116
0.014310461,0.019085853
0.014004565,0.018444264
0.013860038,0.018599605
0.014096549,0.017719342
0.022930162,0.017920799
0.028288767,0.018599605
0.031902644,0.0178852
0.033381259,0.017564001
0.031870293,0.017952353
0.030354815,0.016807525
0.030915374,0.01669911
0.03073611,0.015730659
